Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Inventory Qty,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position
blue-silk-tuxedo,Blue Silk Tuxedo,Blue silk tuxedo...,partners-demo,,men,true,Size,S,Color,Blue,10,70,true,true,https://burst.shopifycdn.com/photos/man-adjusts-blue-tuxedo-bowtie_925x.jpg,1
blue-silk-tuxedo,,,,,,,Size,M,Color,Blue,10,70,true,true,,
blue-silk-tuxedo,,,,,,,Size,L,Color,Blue,10,70,true,true,,
red-sports-tee,Red Sports Tee,Women's red sporty t-shirt...,partners-demo,,women,true,Size,S,Color,Red,10,50,true,true,https://burst.shopifycdn.com/photos/womens-red-t-shirt_925x.jpg,1
red-sports-tee,,,,,,,Size,M,Color,Red,10,50,true,true,,
red-sports-tee,,,,,,,Size,L,Color,Red,10,50,true,true,,
striped-skirt-and-top,Striped Skirt and Top,Black cotton top with matching skirt...,partners-demo,,women,true,Size,S,Color,Striped,10,50,true,true,https://burst.shopifycdn.com/photos/woman-in-the-city_925x.jpg,1
striped-skirt-and-top,,,,,,,Size,M,Color,Striped,10,50,true,true,,
striped-skirt-and-top,,,,,,,Size,L,Color,Striped,10,50,true,true,,
led-high-tops,LED High Tops,Black high top shoes...,partners-demo,,men,true,Size,S,Color,Black,10,80,true,true,https://burst.shopifycdn.com/photos/putting-on-your-shoes_925x.jpg,1
led-high-tops,,,,,,,Size,M,Color,Black,10,80,true,true,,
led-high-tops,,,,,,,Size,L,Color,Black,10,80,true,true,,
